symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
ANVS,2024-03-20,0.1043,8.92,9.85,13.26,9.6,11.1,2141340,23768874,15.5
BAK,2024-03-20,0.1023,8.99,9.91,10.56,9.67,10.56,3961902,41837685,4.3
SRTA,2024-03-20,0.102,2.45,2.7,3.03,2.64,2.85,2454410,6995068,3.5
XTLB,2024-03-20,0.0769,16.64,17.92,44.16,17.92,38.08,957834,36474318,14512.6
LU,2024-03-21,0.4447,1.547,2.235,2.258,2.065,2.253,54715023,123272946,12.7
AMTX,2024-03-21,0.1836,3.65,4.32,5.23,4.08,5.1,24627214,125598791,55.0
GAMB,2024-03-21,0.1216,9.13,10.24,10.27,8.6051,8.8,736118,6477838,6.5
LASE,2024-03-21,0.0844,1.54,1.67,2.08,1.57,2.03,9951390,20201321,145.8
BULZ,2024-03-21,0.0704,13.36,14.3,14.31,13.8,13.81,1633600,22560016,1.1
MRNO,2024-03-22,1.2869,9.62,22.0,28.16,14.08,21.25,3173035,67426993,163.2
XMAX,2024-03-22,0.8919,1.85,3.5,4.4199,2.87,3.04,69178321,210302095,6088.6
OTLK,2024-03-22,0.5298,7.04,10.77,11.72,8.3,8.63,21033281,181517215,276.5
SMC,2024-03-22,0.3273,19.43,25.79,27.25,24.52,27.0,917747,24779169,32.3
FFAI,2024-03-22,0.264,5.44,6.876,6.916,5.092,5.268,1900278,10010664,6.4
IDN,2024-03-22,0.1714,1.75,2.05,3.18,2.02,3.06,13987936,42803084,672.4
MTNB,2024-03-22,0.0894,13.31,14.5,21.5,12.71,13.9,444891,6183984,31.8
FF,2024-03-25,0.4722,4.816,7.09,7.393,7.054,7.25,1129691,8190259,4.2
NKTX,2024-03-25,0.1732,8.92,10.465,11.3429,10.16,10.49,4832727,50695306,6.6
TH,2024-03-25,0.1592,8.92,10.34,11.19,10.26,11.12,4853869,53975023,10.8
GDRX,2024-03-25,0.155,6.58,7.6,7.9271,7.05,7.07,2627578,18576976,2.0
KULR,2024-03-25,0.1483,1.672,1.92,3.407,1.68,2.601,15810223,41122390,77.0
OCGN,2024-03-25,0.1402,1.64,1.87,2.105,1.72,1.83,44074756,80656803,6.7
IDN,2024-03-25,0.0817,3.06,3.31,4.25,3.12,3.92,12007754,47070395,577.3
DJTWW,2024-03-25,0.0746,18.37,19.74,24.3,18.97,23.15,720379,16676773,6.1
STOK,2024-03-26,0.7031,6.5,11.07,13.0,10.16,10.29,19469012,200336133,73.5
KULR,2024-03-26,0.3187,2.601,3.43,3.725,2.88,3.39,10969369,37186160,53.4
MESO,2024-03-26,0.2818,2.2,2.82,4.16,2.6801,3.93,69182352,271886643,578.8
MBAI,2024-03-26,0.2774,1.965,2.51,2.86,2.24,2.47,13220076,32653587,1108.1
IVVD,2024-03-26,0.1981,3.23,3.87,4.06,3.63,3.66,3005487,11000082,10.1
DNUT,2024-03-26,0.192,12.19,14.53,17.47,14.04,16.99,43605685,740860588,51.3
NUVB,2024-03-26,0.0933,2.25,2.46,3.03,2.3758,2.88,5348223,15402882,7.4
CDLR,2024-03-26,0.0833,18.12,19.63,19.7,18.96,18.99,397895,7556026,5.6
GCTS,2024-03-27,0.9103,6.58,12.57,56.0,9.44,44.0,4294545,188959980,1062.0
NMAD,2024-03-27,0.7694,2.255,3.99,4.4,3.05,3.52,30986295,109071758,5009.1
NUVB,2024-03-27,0.1337,2.88,3.265,4.06,3.02,3.97,11420481,45339309,15.1
NVCR,2024-03-27,0.1308,13.07,14.78,15.54,12.92,14.64,11939190,174789741,11.3
PAYS,2024-03-27,0.1272,3.38,3.81,4.53,3.77,4.0,13259551,53038204,109.8
STKS,2024-03-27,0.1222,4.01,4.5,5.09,4.5,5.07,2167277,10988094,16.5
TYRA,2024-03-27,0.0997,16.15,17.76,17.76,16.19,16.3,339576,5535088,3.3
OUST,2024-03-27,0.0904,4.98,5.43,7.2,5.26,6.7,9741419,65267507,18.5
AVTX,2024-03-28,2.9368,4.75,18.7,34.46,16.65,21.75,31910412,694051461,1650.1
XLO,2024-03-28,2.0047,8.946,26.88,27.02,14.7,15.12,2467090,37302400,255.3
MESO,2024-03-28,0.2779,3.49,4.46,5.37,3.91,5.01,14096467,70623299,107.6
IBIO,2024-03-28,0.25,3.36,4.2,4.98,3.66,4.06,50664560,205698113,776.1
ATLX,2024-03-28,0.134,14.92,16.92,17.6341,14.99,17.02,513241,8735361,6.4
SMMT,2024-03-28,0.1227,3.75,4.21,4.64,4.1,4.14,4679740,19374123,2.1
SRRK,2024-03-28,0.1126,15.45,17.19,17.9,15.27,17.76,1751053,31098701,2.1
AKBA,2024-03-28,0.1027,2.24,2.47,2.48,1.77,1.83,61074372,111766100,18.7
CXAI,2024-04-01,0.5429,2.45,3.78,7.07,3.53,6.15,239762081,1474536798,131.9
MESO,2024-04-01,0.2315,5.01,6.17,7.36,5.74,6.08,16446935,99997364,125.5
XLO,2024-04-01,0.2222,15.12,18.48,22.82,15.96,21.42,1526894,32706069,158.0
BLDP,2024-04-01,0.1259,2.78,3.13,3.31,3.005,3.27,16929619,55359854,6.5
SMR,2024-04-01,0.0942,5.31,5.81,6.44,5.15,5.24,10859366,56903077,1.8
CDE,2024-04-01,0.0874,3.766,4.095,4.335,4.045,4.175,11521063,48100438,1.7
NKTX,2024-04-01,0.0717,10.81,11.585,11.8388,10.56,10.82,1550674,16778292,2.0
TPET,2024-04-02,1.1297,2.066,4.4,4.6,2.892,2.97,10317388,30642642,197.0
VTSI,2024-04-02,0.2421,9.54,11.85,13.8,11.1301,13.14,2947891,38735287,29.0
GXAI,2024-04-02,0.1028,6.03,6.65,6.7,5.5,5.86,1406707,8243303,9.4
HURA,2024-04-03,1.1466,3.514,7.543,8.4,4.974,5.74,6459411,37077019,45.9
ORKA,2024-04-03,0.7011,11.04,18.78,25.04,18.59,20.98,6734207,141283662,4037.3
VIVO,2024-04-03,0.5373,5.9,9.07,9.9,6.18,6.41,47998819,307672429,5271.7
VNDA,2024-04-03,0.1893,3.91,4.65,6.03,4.37,5.05,50710619,256088625,61.8
LRMR,2024-04-03,0.072,7.36,7.89,8.056,7.41,7.72,877602,6775087,1.7
HWH,2024-04-04,0.5478,7.85,12.15,12.85,9.3,11.5,2870648,33012452,1272.5
GRRR,2024-04-04,0.2568,7.32,9.2,9.8,8.5,9.1,2816857,25633398,31.9
CADL,2024-04-04,0.2083,1.68,2.03,7.65,2.0,6.4,143930489,921155129,2326.0
LEVI,2024-04-04,0.1528,17.54,20.22,21.05,19.7,19.71,27988019,551643854,19.8
ZETA,2024-04-04,0.1106,10.53,11.695,12.445,11.4,11.93,6177461,73697109,5.1
MGNX,2024-04-04,0.1024,13.67,15.07,18.9,15.07,17.78,6817570,121216394,4.0
ALDX,2024-04-04,0.0988,4.15,4.56,4.8802,4.35,4.685,2522264,11816806,5.9
AVTX,2024-04-04,0.0865,16.31,17.72,20.85,16.3,16.3,630309,10274036,21.3
GCTS,2024-04-05,0.925,5.73,11.03,11.9,7.5,8.16,28609089,233450166,3955.6
SPCB,2024-04-05,0.3286,4.2,5.58,6.9,4.704,5.76,4446093,25609495,181.5
TARA,2024-04-05,0.1692,4.02,4.7,5.24,3.56,3.63,8585958,31167027,103.5
AXTI,2024-04-05,0.1025,3.22,3.55,3.76,3.03,3.11,3429747,10666513,3.7
CADL,2024-04-05,0.0938,6.4,7.0,11.3999,5.58,6.64,84150545,558759618,1359.9
ANGO,2024-04-05,0.0906,6.4,6.98,7.52,6.79,7.03,2155711,15154648,5.6
BYRN,2024-04-05,0.0858,13.76,14.94,15.24,12.5,13.21,1149670,15187140,6.4
LGVN,2024-04-08,0.7,2.2,3.74,5.47,2.03,2.15,50509418,108595248,2671.7
KULR,2024-04-08,0.136,4.684,5.321,6.312,5.2,5.694,3128510,17813735,4.7
AXTI,2024-04-08,0.1286,3.11,3.51,3.99,3.43,3.57,2605427,9301374,2.8
VIVO,2024-04-08,0.1019,5.69,6.27,6.45,5.07,5.6,2788899,15617834,234.7
OCGN,2024-04-08,0.0984,1.83,2.01,2.08,1.84,1.88,19662552,36965597,2.3
PPTA,2024-04-08,0.0882,4.76,5.18,6.47,5.07,6.29,1223847,7697997,6.9
IREN,2024-04-08,0.0857,5.6,6.08,6.33,5.295,5.41,15120935,81804258,1.4
CLSK,2024-04-08,0.0788,15.6,16.83,17.33,15.21,15.36,30346599,466123760,0.8
ACRV,2024-04-09,0.687,5.91,9.97,11.9,8.8,9.62,38277212,368226779,681.3
FFAI,2024-04-09,0.1111,3.6,4.0,4.596,3.696,4.472,2123862,9497910,5.6
TSHA,2024-04-09,0.1007,2.68,2.95,3.3,2.91,2.96,4672076,13829344,2.2
MDIA,2024-04-09,0.0861,3.02,3.28,5.1,3.25,4.29,72009124,308919141,5098.7
OPFI,2024-04-09,0.0857,2.38,2.584,3.179,2.584,2.984,2865225,8549831,13.1
NA,2024-04-10,0.2973,14.8,19.2,23.5,16.7,19.3,3230069,62340331,1240.9
RLYB,2024-04-11,1.0429,13.04,26.64,27.68,21.04,23.84,9987554,238103287,725.0
CLYM,2024-04-11,0.5019,2.67,4.01,4.75,3.9201,4.58,39106006,179105507,6363.9
TPET,2024-04-11,0.3917,3.666,5.102,5.764,3.99,4.622,3368422,15568846,42.6
RENT,2024-04-11,0.3216,7.4,9.78,24.13,9.78,19.38,45747764,886591666,1632.2
CADL,2024-04-11,0.2549,5.1,6.4,7.92,5.83,7.28,64185320,467269129,912.2
ELVN,2024-04-11,0.2117,19.82,24.015,26.0,22.62,23.82,3347739,79743142,24.7
CYPH,2024-04-11,0.1513,3.04,3.5,4.39,3.03,3.115,5675632,17679593,32.5
ANAB,2024-04-11,0.1191,14.78,16.54,17.08,15.9,16.48,572975,9442628,1.5
NXPL,2024-04-12,0.66,15.0,24.9,26.8,17.8,18.7,4561015,85290980,4862.5
TPET,2024-04-12,0.2116,4.622,5.6,13.88,5.2,10.32,16965291,175081803,199.7
HKD,2024-04-12,0.2019,3.17,3.81,3.92,3.35,3.36,3906817,13126905,15.2
EONR,2024-04-12,0.1116,2.285,2.5399,4.0,2.41,2.61,2444584,6380364,16.1
CDE,2024-04-12,0.0917,4.785,5.224,5.464,4.575,4.635,21479517,99557561,2.7
NRXP,2024-04-12,0.0873,5.5,5.98,6.0,4.89,5.12,1122818,5748828,6.5
SPCB,2024-04-12,0.0811,4.688,5.068,6.014,5.0,5.52,918270,5068850,32.3
INDO,2024-04-12,0.0803,2.74,2.96,5.94,2.96,4.94,56413687,278683613,1312.5
SNGX,2024-04-15,0.753,6.178,10.83,14.92,7.2,7.52,8439835,63467559,1043.8
VIVS,2024-04-15,0.6436,12.12,19.92,20.88,14.4,16.2,4482121,72610360,1212.2
LGVN,2024-04-15,0.4142,1.69,2.39,3.41,2.15,2.93,57100128,167303375,1712.9
SPCB,2024-04-15,0.3043,5.52,7.2,10.9,6.602,8.008,6378973,51082815,213.6
MPT,2024-04-15,0.2105,3.273,3.962,4.356,3.749,3.889,56522027,219814163,3.9
RENT,2024-04-15,0.1435,19.23,21.99,22.39,13.88,14.72,3607893,53108184,112.2
TPET,2024-04-15,0.1376,10.32,11.74,14.39,9.6,12.6,9062232,114184123,93.4
PALI,2024-04-16,1.1034,4.16,8.75,9.65,5.34,5.93,28975236,171823149,2860.1
DVLT,2024-04-16,0.5314,1.75,2.68,8.6,2.43,6.1,199659402,1217922352,660.6
CGEM,2024-04-16,0.2006,16.55,19.87,20.62,16.871,17.32,3354405,58098294,11.2
SPCB,2024-04-16,0.1988,8.008,9.6,9.6,6.76,7.458,1679773,12527747,52.2
DVLT,2024-04-17,0.7885,6.1,10.91,10.95,6.7059,9.25,68309715,631864863,226.0
INTZ,2024-04-17,0.4478,2.3,3.33,3.46,1.7,1.94,4548533,8824154,96.2
RYM,2024-04-17,0.3761,4.469,6.15,6.69,4.967,5.475,1970921,10790792,77.0
VNDA,2024-04-17,0.3383,4.05,5.42,5.67,4.99,5.24,24035651,125946811,29.3
CXAI,2024-04-17,0.3274,3.91,5.19,5.43,4.08,4.2,23233816,97582027,10.6
PLCE,2024-04-17,0.3179,7.11,9.37,11.4,8.01,8.28,14075181,116542498,24.0
RANI,2024-04-17,0.1063,6.87,7.6,8.75,7.06,7.85,1403877,11020434,16.3
SINT,2024-04-17,0.0917,4.58,5.0,9.36,4.66,7.46,2451295,18286660,44.2
SINT,2024-04-18,0.6086,7.46,12.0,13.66,7.64,8.0,2194907,17559256,34.8
THCH,2024-04-18,0.1442,5.2,5.95,7.2,5.9,6.4,2886807,18475564,121.9
VTSI,2024-04-18,0.1039,11.26,12.43,13.72,11.7,13.25,522911,6928570,3.8
BNTC,2024-04-18,0.0958,4.8,5.26,7.42,5.08,6.82,3517731,23990925,297.8
RNTX,2024-04-18,0.0824,4.25,4.6,7.42,4.51,5.0,1755029,8775145,76.1
SMSI,2024-04-18,0.0718,9.75,10.45,16.05,9.8,11.13,1102922,12275521,133.0
GRML,2024-04-19,0.4081,7.9966,11.26,13.1,9.38,10.08,6118094,61670387,5165.1
GPUS,2024-04-19,0.3217,8.474,11.2,13.42,9.8,10.64,1627856,17320387,24.7
TPET,2024-04-19,0.2199,6.558,8.0,8.868,7.076,7.95,2635671,20953584,6.6
DJTWW,2024-04-19,0.1709,15.45,18.09,18.4,15.7,17.01,646043,10989191,2.2
SPCB,2024-04-22,0.3618,4.4,5.992,6.77,5.2,5.794,3533135,20470984,47.8
PALI,2024-04-23,0.3935,4.93,6.87,8.17,5.67,5.92,23377191,138392970,2063.0
HWH,2024-04-23,0.375,6.4,8.8,8.85,6.5,7.55,3237115,24440218,288.8
IBRX,2024-04-23,0.2449,4.94,6.15,6.19,4.84,5.49,30697001,168526535,7.7
OPRT,2024-04-23,0.2,2.25,2.7,3.53,2.58,3.15,11709451,36884770,58.2
KULR,2024-04-23,0.1201,3.571,4.0,4.56,3.92,4.157,2661529,11063976,1.8
MTC,2024-04-23,0.0962,12.48,13.68,20.0,12.8,17.92,759216,13605150,123.5
EYPT,2024-04-23,0.0773,16.95,18.26,18.68,17.55,17.57,942987,16568281,1.5
BBAI,2024-04-23,0.0769,1.56,1.68,1.75,1.63,1.71,7038323,12035532,1.0
AMST,2024-04-24,0.9,2.0,3.8,4.34,2.96,3.35,70566626,236398197,6305.4
TSLT,2024-04-24,0.25,7.36,9.2,9.7,8.65,9.11,8266480,75307632,1.8
TSLL,2024-04-24,0.2493,4.881,6.098,6.438,5.732,6.031,48473664,292344667,2.4
TSLR,2024-04-24,0.2392,8.11,10.05,10.67,9.52,10.04,1224176,12290727,2.9
AEYE,2024-04-24,0.2003,13.48,16.18,16.22,14.28,14.43,487383,7032936,3.7
TPET,2024-04-24,0.1916,7.202,8.582,9.724,7.55,8.03,2078569,16690909,3.3
MTC,2024-04-24,0.1473,17.92,20.56,29.6,18.56,28.8,1179378,33966086,191.9
POET,2024-04-24,0.1456,1.58,1.81,2.34,1.63,2.28,6234596,14214878,112.2
ULBI,2024-04-25,0.2027,8.73,10.5,10.75,9.89,10.71,511764,5480992,10.8
SPCB,2024-04-25,0.1775,4.472,5.266,5.82,5.02,5.04,2642009,13315725,12.9
CLB,2024-04-25,0.0791,16.43,17.73,17.81,16.37,16.97,693893,11775364,1.9
SNAP,2024-04-26,0.2702,11.4,14.48,14.94,13.78,14.55,159811902,2325263174,6.6
HURA,2024-04-26,0.2342,5.53,6.825,6.825,4.746,5.208,1474614,7679789,13.5
BOF,2024-04-26,0.1531,1.96,2.26,2.86,2.07,2.15,17000974,36552094,1117.6
TPC,2024-04-26,0.1371,13.86,15.76,17.91,15.76,17.74,1549590,27489726,3.8
POET,2024-04-26,0.1212,1.98,2.22,2.6,2.09,2.5,3284541,8211352,51.6
RERE,2024-04-26,0.0991,1.574,1.73,1.955,1.652,1.936,3416436,6614220,6.2
PDC,2024-04-26,0.0982,3.676,4.037,5.6,3.01,3.305,1616259,5341735,52.0
NWL,2024-04-26,0.0936,6.172,6.75,7.266,6.555,6.928,9823407,68056563,2.5
PHG,2024-04-29,0.3328,18.96,25.27,26.49,23.81,24.03,12343345,296610580,14.7
TSLL,2024-04-29,0.2407,6.474,8.032,8.838,7.733,8.475,83315366,706097726,4.0
TSLT,2024-04-29,0.2393,9.78,12.12,13.34,11.6705,12.78,13185669,168512849,2.8
TSLR,2024-04-29,0.2377,10.77,13.33,14.67,12.8532,14.08,1481120,20854169,3.2
SINT,2024-04-29,0.2327,8.08,9.96,12.0,9.2,10.9,871823,9502870,7.8
ARQQ,2024-04-29,0.2305,12.19,15.0,15.0,10.75,11.72,1533346,17970815,72.8
HWH,2024-04-29,0.2198,9.1,11.1,15.15,10.0,12.9,7067337,91168647,290.2
TSL,2024-04-29,0.1477,6.5,7.46,7.975,7.3,7.7449,729096,5646775,4.4
WGS,2024-04-30,0.2982,11.0,14.28,18.24,13.9,17.07,7285998,124371985,45.0
HLIT,2024-04-30,0.2606,9.4,11.85,12.11,10.5,10.74,7374787,79205212,4.5
BLND,2024-04-30,0.1378,2.25,2.56,2.8901,2.43,2.45,6152584,15073830,4.9
LXU,2024-04-30,0.0754,8.22,8.84,9.706,8.8,9.3,1331525,12383182,3.4
CTMX,2024-05-01,0.9939,1.63,3.25,5.85,2.78,5.13,206720383,1060475564,558.2
PALI,2024-05-01,0.3184,6.03,7.95,9.09,6.36,7.08,12265353,86838699,193.6
IMCC,2024-05-01,0.2558,5.16,6.48,7.86,5.88,6.66,6812996,45374553,76.0
TGTX,2024-05-01,0.2555,13.66,17.15,18.0,14.87,15.88,18588085,295178789,7.5
FLG,2024-05-01,0.2037,7.873,9.477,10.78,8.913,10.1,31572536,318882613,5.1
HAPN,2024-05-01,0.117,7.52,8.4,9.27,8.4,9.0,4477358,40296222,3.9
CDNA,2024-05-01,0.0966,7.76,8.51,9.96,8.43,9.18,2600124,23869138,4.6
STGW,2024-05-01,0.084,5.95,6.45,7.12,6.4,6.74,2341569,15782175,4.9
EBS,2024-05-02,0.5285,1.93,2.95,4.76,2.82,3.3,151504993,499966476,145.4
CVNA,2024-05-02,0.3772,17.42,23.99,24.46,22.29,23.3,121103950,2821722035,6.2
ENVX,2024-05-02,0.3594,6.51,8.85,9.615,8.13,9.47,25825205,244564691,7.2
ASPN,2024-05-02,0.3003,15.22,19.79,24.41,19.33,23.85,11894542,283684826,19.4
LUNG,2024-05-02,0.2927,7.72,9.98,9.98,8.85,9.38,1503335,14101282,2.8
RSI,2024-05-02,0.2243,6.42,7.86,8.38,7.07,7.55,5588200,42190910,4.8
ULCC,2024-05-02,0.137,5.84,6.64,6.65,5.75,5.94,2711393,16105674,1.8
PTON,2024-05-02,0.1211,3.22,3.61,3.8,2.7,3.13,62218965,194745360,5.7
OSPN,2024-05-03,0.2683,10.36,13.14,13.48,11.14,11.73,1797452,21084111,7.0
LOCO,2024-05-03,0.264,8.6,10.87,11.99,9.64,10.01,3281652,32849336,13.5
ARDX,2024-05-03,0.2312,6.79,8.36,9.13,7.98,8.72,24971221,217749047,4.6
RLAY,2024-05-03,0.2302,7.08,8.71,8.71,6.79,7.04,1167807,8221361,1.2
OPEN,2024-05-03,0.1724,2.03,2.38,2.6,2.2,2.21,47495260,104964524,3.7
AAPU,2024-05-03,0.1539,17.93,20.69,20.79,19.88,20.04,1550763,31077290,4.7
AAPB,2024-05-03,0.1508,16.91,19.46,19.56,18.77,18.88,369263,6971685,2.4
AXTI,2024-05-03,0.1485,3.03,3.48,4.23,3.31,3.66,13601544,49781651,20.5
BCRX,2024-05-06,0.1236,4.45,5.0,5.47,4.75,5.27,8898733,46896322,3.0
NRXP,2024-05-06,0.1048,2.1,2.32,3.75,2.32,3.06,9310734,28490846,44.6
CTMX,2024-05-06,0.1038,4.43,4.89,4.94,4.27,4.37,5076011,22182168,13.3
PLCE,2024-05-06,0.072,7.78,8.34,8.34,7.0,8.03,966054,7757413,1.3
MTC,2024-05-07,0.3043,18.4,24.0,37.12,22.8,26.64,4220758,112440993,663.8
BVS,2024-05-07,0.25,4.0,5.0,5.36,4.65,5.12,3266888,16726466,28.4
ZETA,2024-05-07,0.1962,13.0,15.55,15.9,14.9,15.38,9171205,141053132,6.2
SELF,2024-05-07,0.187,3.674,4.361,5.154,4.15,4.696,2097198,9848441,130.2
HIMS,2024-05-07,0.1704,11.65,13.635,13.635,12.07,12.35,25707767,317490922,6.4
PTON,2024-05-07,0.1667,3.54,4.13,4.19,3.85,4.09,59364321,242800072,5.3
FFAI,2024-05-07,0.1622,1.652,1.92,2.08,1.672,1.748,4422883,7731199,5.8
TVTX,2024-05-07,0.1298,6.55,7.4,7.69,6.74,6.75,1938139,13082438,1.6
REBN,2024-05-08,0.7861,1.73,3.09,4.5199,2.74,3.19,109955801,350759005,2187.1
VBIO,2024-05-08,0.4762,17.85,26.35,31.45,18.02,22.78,1393863,31752199,1448.9
INOD,2024-05-08,0.2834,6.74,8.65,10.54,8.2102,10.47,19162181,200628035,81.5
SLNH,2024-05-08,0.251,2.43,3.04,3.04,2.55,2.69,13915776,37433437,157.4
MYGN,2024-05-08,0.1854,19.78,23.448,24.2,22.13,23.95,2587966,61981785,4.5
ELAN,2024-05-08,0.1642,13.52,15.74,17.23,15.24,16.89,19729086,333224262,4.8
CRCT,2024-05-08,0.1627,4.179,4.859,6.302,4.708,6.151,7855717,48320515,12.7
INGN,2024-05-08,0.1233,7.3,8.2,8.75,7.42,8.24,882018,7267828,3.7
CPOP,2024-05-09,1.0765,17.0,35.3,43.0,27.8,31.2,7699089,240211576,7318.5
SEZL,2024-05-09,0.4523,7.457,10.83,14.0,10.46,13.1,4677804,61279232,8.8
EMBC,2024-05-09,0.2927,9.337,12.07,13.89,11.92,12.87,2585102,33270262,7.1
MGNI,2024-05-09,0.2135,8.9,10.8,10.9,9.185,9.23,3776866,34860473,3.3
ZLAB,2024-05-09,0.21,16.57,20.05,21.49,19.76,21.01,4134390,86863533,8.7
WRBY,2024-05-09,0.1833,12.44,14.72,15.09,14.08,14.68,4549464,66786131,4.1
SLQT,2024-05-09,0.164,2.5,2.91,3.06,2.58,2.59,2182172,5651825,4.2
ASLE,2024-05-09,0.1576,7.55,8.74,9.4,8.04,8.25,1186169,9785894,4.3
NVAX,2024-05-10,1.2416,4.47,10.02,11.0,8.61,8.88,170871994,1517343306,45.9
SRTS,2024-05-10,0.2651,3.81,4.82,5.45,4.37,5.29,19744915,104450600,231.8
INSG,2024-05-10,0.1953,3.84,4.59,5.7799,4.5832,5.03,1663866,8369245,24.1
ARRY,2024-05-10,0.1871,12.51,14.85,14.85,12.52,12.76,15078251,192398482,2.7
ADMA,2024-05-10,0.1833,6.93,8.2,9.02,7.96,8.81,11700342,103080013,5.6
SOUN,2024-05-10,0.1684,4.75,5.55,5.97,5.05,5.09,88336424,449632398,3.6
DVLT,2024-05-10,0.1579,3.04,3.52,3.64,2.9208,3.18,7839137,24928455,9.4
OUST,2024-05-10,0.1575,10.35,11.98,14.17,11.98,12.4,4756718,58983303,4.8
GME,2024-05-13,0.5086,17.46,26.34,38.2,24.77,30.45,187241727,5701510587,43.2
ACIU,2024-05-13,0.4632,2.31,3.38,3.47,2.88,3.3,32121117,105999686,195.4
AMC,2024-05-13,0.2096,2.91,3.52,5.88,3.16,5.19,522639587,2712499456,31.4
KOSS,2024-05-13,0.2071,3.1978,3.86,5.53,3.62,4.37,19537377,85378337,1551.6
FULC,2024-05-13,0.1178,7.47,8.35,8.5,6.9214,7.35,2034525,14953758,5.3
RXRX,2024-05-13,0.0953,8.6,9.42,10.396,9.06,9.48,15407565,146063716,3.9
NVAX,2024-05-13,0.0912,8.88,9.69,13.97,9.52,13.11,123507768,1619186838,33.2
OKLO,2024-05-13,0.0828,8.45,9.15,10.85,8.6,9.77,12579137,122898168,8.0
AMC,2024-05-14,1.289,5.19,11.88,11.88,5.85,6.85,634246623,4344589367,38.0
PLUG,2024-05-14,0.692,2.89,4.89,4.9,3.42,3.44,203418430,699759399,7.2
FFAI,2024-05-14,0.6344,2.44,3.988,14.39,3.6,11.41,39335919,448822835,26.4
KOSS,2024-05-14,0.3593,4.37,5.94,6.9499,5.31,6.15,19694163,121119102,1523.4
BB,2024-05-14,0.2323,3.1,3.82,3.85,3.32,3.47,93932195,325944716,14.5
HROW,2024-05-14,0.2055,12.07,14.55,17.49,14.348,16.24,2820478,45804562,7.9
BYND,2024-05-14,0.1897,7.96,9.47,10.31,7.87,8.01,21833128,174883355,11.8
PSFE,2024-05-14,0.1806,15.67,18.5,19.8341,18.02,18.84,1736948,32724100,6.1
SINT,2024-05-15,1.4236,11.0,26.66,45.6,20.6,25.52,5017563,128048207,42.6
FFAI,2024-05-15,1.0999,11.41,23.96,39.2,15.53,28.2,33661426,949252213,21.6
OPRX,2024-05-15,0.3311,10.48,13.95,14.13,12.5,13.17,663062,8732526,5.1
SPCB,2024-05-15,0.25,4.32,5.4,5.598,4.0,4.028,1674003,6742884,5.4
ARQT,2024-05-15,0.1587,8.13,9.42,10.13,8.9,9.24,13896318,128401978,5.3
TMCI,2024-05-15,0.154,5.0,5.77,6.01,5.18,5.95,3371960,20063162,9.1
SRAD,2024-05-15,0.1316,9.5,10.75,10.75,9.53,10.48,1612534,16899356,4.7
BCRX,2024-05-15,0.1063,5.36,5.93,6.56,5.9,6.36,10487304,66699253,3.5
ASTS,2024-05-16,0.3138,2.39,3.14,4.16,3.07,4.03,76045579,306463683,35.8
GRRR,2024-05-16,0.1437,5.22,5.97,6.2896,5.45,5.54,1037951,5750248,3.0
GOOS,2024-05-16,0.1366,11.42,12.98,14.31,12.95,13.19,8447805,111426547,17.5
MGNI,2024-05-16,0.1204,9.8,10.98,12.9,10.85,11.99,14195845,170208181,12.4
LSPD,2024-05-16,0.0994,12.78,14.05,15.13,14.0,15.1,5041325,76124007,7.5
GDRX,2024-05-16,0.0729,7.27,7.8,8.3709,7.5701,8.06,4989305,40213798,5.5
DUO,2024-05-17,2.8113,6.381,24.32,33.6,21.28,26.88,6559950,176331456,989.6
SDEV,2024-05-17,0.25,13.88,17.35,30.01,12.12,13.72,772388,10597163,82.1
OUST,2024-05-17,0.1115,11.66,12.96,14.15,12.87,12.97,3377935,43811816,3.6
AUTL,2024-05-17,0.1057,4.07,4.5,4.84,4.39,4.39,2033189,8925699,1.4
ERAS,2024-05-17,0.0919,1.85,2.02,2.05,1.84,1.97,11040618,21750017,19.2
HKD,2024-05-17,0.0895,3.8,4.14,4.85,3.86,4.08,2668095,10885827,7.6
AMDL,2024-05-17,0.0723,17.01,18.24,18.4481,16.9025,17.38,902317,15682269,2.3
GTBP,2024-05-20,1.5,3.12,7.8,10.6599,6.66,7.8,65006720,507052416,8424.9
SINT,2024-05-20,0.3906,17.0,23.64,24.78,18.84,22.58,717772,16207291,6.1
SDEV,2024-05-20,0.3491,13.72,18.51,26.61,15.04,20.17,902962,18212743,96.0
CNEY,2024-05-20,0.276,16.63,21.22,27.75,18.25,21.25,527737,11214411,357.7
HURA,2024-05-20,0.1896,5.005,5.954,6.44,5.289,6.125,1336456,8185793,12.6
ASPI,2024-05-20,0.1482,4.52,5.19,5.55,4.89,5.23,1684134,8808020,2.7
HIMS,2024-05-20,0.0947,14.57,15.95,20.11,15.85,18.6,70740855,1315779903,14.0
MGRX,2024-05-21,0.8609,3.795,7.062,16.8,6.315,7.73,15920284,123063795,2254.8
GPUS,2024-05-21,0.2746,13.73,17.5,20.27,14.35,16.47,1439887,23714938,30.3
MTC,2024-05-21,0.2286,8.4,10.32,10.56,6.401,7.12,6711506,47785922,166.7
FRMM,2024-05-21,0.2222,15.3,18.7,27.0,15.3,19.9,408326,8125687,184.4
CTXR,2024-05-21,0.1818,16.5,19.5,21.25,16.76,18.25,867949,15840069,23.1
