symbol,date,gap,prev_close,o,h,l,c,v,dollar_vol,rel_vol
MTNB,2023-11-07,0.2122,12.58,15.25,16.0,13.5,16.0,355421,5686736,6.0
UIS,2023-11-07,0.1799,2.89,3.41,3.585,3.15,3.48,1999405,6957929,3.7
TASK,2023-11-07,0.1452,6.687,7.658,7.964,7.306,7.886,1542125,12161197,3.9
OSCR,2023-11-07,0.0946,5.71,6.25,6.88,6.03,6.62,2896686,19176061,2.4
NEO,2023-11-07,0.0922,14.65,16.0,17.09,15.1,16.73,2829707,47340998,2.9
TRIP,2023-11-07,0.0881,16.11,17.53,18.305,16.68,17.88,13738315,245641072,8.0
EVER,2023-11-07,0.086,7.44,8.08,8.94,8.05,8.7,1038940,9038778,3.7
HSCS,2023-11-08,2.3456,14.93,49.95,52.0,20.0,22.9,866404,19840651,1705.5
TH,2023-11-08,0.2719,12.58,16.0,16.02,13.94,14.59,3415845,49837178,7.2
UPWK,2023-11-08,0.2225,12.025,14.7,15.0,12.29,13.29,11885165,157953842,8.1
SRTA,2023-11-08,0.2203,2.27,2.77,3.0887,2.64,2.94,5388634,15842583,12.4
EVGO,2023-11-08,0.2087,2.3,2.78,2.91,2.55,2.71,11238957,30457573,4.2
REAL,2023-11-08,0.1863,1.61,1.91,2.23,1.86,2.0,17343594,34687188,10.0
YOU,2023-11-08,0.1773,16.02,18.86,18.94,17.39,17.45,4471215,78022701,4.2
ENVX,2023-11-08,0.1738,10.24,12.02,12.46,11.23,11.75,10209965,119967088,2.5
CDNA,2023-11-09,0.2638,6.33,8.0,8.0,7.12,7.21,3341682,24093527,3.6
CLMT,2023-11-09,0.2231,13.0,15.9,16.18,14.14,14.25,557373,7942565,6.7
XMTR,2023-11-09,0.1781,16.73,19.71,19.78,15.741,16.18,685458,11090710,1.8
BAK,2023-11-09,0.1693,7.03,8.22,8.36,7.95,8.08,3095965,25015397,6.5
PUBM,2023-11-09,0.1537,12.1,13.96,15.09,13.67,14.96,1761383,26350289,6.5
BE,2023-11-09,0.1505,10.03,11.54,12.1,10.815,10.87,15489768,168373778,2.9
FTCI,2023-11-09,0.1447,4.23,4.842,5.5,3.8,4.496,1411534,6346256,14.7
METC,2023-11-09,0.1391,10.64,12.12,15.02,11.05,14.54,4730151,68776395,14.1
RCEL,2023-11-10,0.2146,9.88,12.0,12.51,10.78,11.29,625409,7060867,4.8
BLNK,2023-11-10,0.1667,2.46,2.87,3.4,2.73,3.07,20624054,63315845,12.3
INDI,2023-11-10,0.166,4.94,5.76,6.1,5.42,5.64,8610535,48563417,4.5
ACB,2023-11-10,0.1483,4.45,5.11,5.2,4.611,4.7,1704748,8012315,2.4
VERA,2023-11-10,0.1295,11.51,13.0,13.88,11.73,12.14,1113091,13512924,1.8
FIGS,2023-11-10,0.1229,5.86,6.58,6.61,6.05,6.15,6914934,42526844,3.3
NVTS,2023-11-10,0.1213,5.69,6.38,6.48,5.965,6.26,3546255,22199556,2.3
OUST,2023-11-10,0.1189,4.12,4.61,5.19,4.56,4.93,2189265,10793076,5.9
TENX,2023-11-13,1.004,12.48,25.01,57.58,22.97,49.6,3932903,195071988,1460.7
