symbol,tag,cond,split,n,p_recovered,med_high_min,med_low_min,p_high_first30,p_high_first60,p_high_last60,p_low_first30,p_low_first60,p_low_last60,hi_09:30-10:00,lo_09:30-10:00,hi_10:00-10:30,lo_10:00-10:30,hi_10:30-11:00,lo_10:30-11:00,hi_11:00-12:00,lo_11:00-12:00,hi_12:00-13:00,lo_12:00-13:00,hi_13:00-14:00,lo_13:00-14:00,hi_14:00-15:00,lo_14:00-15:00,hi_15:00-16:00,lo_15:00-16:00
SPY,hist_2019_2021,dn_close_dn_open,all,73,0.5753424657534246,195.0,105.0,0.2191780821917808,0.2876712328767123,0.3561643835616438,0.2876712328767123,0.3972602739726027,0.2465753424657534,0.2191780821917808,0.2876712328767123,0.0684931506849315,0.1095890410958904,0.0958904109589041,0.0821917808219178,0.0821917808219178,0.0547945205479452,0.0410958904109589,0.0821917808219178,0.0684931506849315,0.0958904109589041,0.0684931506849315,0.0410958904109589,0.3561643835616438,0.2465753424657534
SPY,hist_2019_2021,dn_close_dn_open,recovered,42,,350.0,30.0,0.023809523809523808,0.07142857142857142,0.5952380952380952,0.47619047619047616,0.5952380952380952,0.09523809523809523,0.023809523809523808,0.47619047619047616,0.047619047619047616,0.11904761904761904,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.0,0.5952380952380952,0.09523809523809523
SPY,hist_2019_2021,dn_close_dn_open,failed,31,,30.0,310.0,0.4838709677419355,0.5806451612903226,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.45161290322580644,0.4838709677419355,0.03225806451612903,0.0967741935483871,0.0967741935483871,0.16129032258064516,0.0,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.1935483870967742,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.45161290322580644
SPY,hist_2019_2021,dn_close_up_open,all,122,0.6311475409836066,265.0,70.0,0.1721311475409836,0.23770491803278687,0.36885245901639346,0.3770491803278688,0.47540983606557374,0.1885245901639344,0.1721311475409836,0.3770491803278688,0.06557377049180328,0.09836065573770492,0.04918032786885246,0.08196721311475409,0.08196721311475409,0.11475409836065574,0.040983606557377046,0.04918032786885246,0.09016393442622951,0.04918032786885246,0.13114754098360656,0.040983606557377046,0.36885245901639346,0.1885245901639344
SPY,hist_2019_2021,dn_close_up_open,recovered,77,,355.0,10.0,0.0,0.07792207792207792,0.5844155844155844,0.5974025974025974,0.7142857142857143,0.012987012987012988,0.0,0.5974025974025974,0.07792207792207792,0.11688311688311688,0.025974025974025976,0.07792207792207792,0.05194805194805195,0.11688311688311688,0.012987012987012988,0.025974025974025976,0.07792207792207792,0.012987012987012988,0.16883116883116883,0.03896103896103896,0.5844155844155844,0.012987012987012988
SPY,hist_2019_2021,dn_close_up_open,failed,45,,35.0,270.0,0.4666666666666667,0.5111111111111111,0.0,0.0,0.06666666666666667,0.4888888888888889,0.4666666666666667,0.0,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.13333333333333333,0.1111111111111111,0.08888888888888889,0.08888888888888889,0.1111111111111111,0.1111111111111111,0.06666666666666667,0.044444444444444446,0.0,0.4888888888888889
SPY,hist_2019_2021,up_close_dn_open,all,116,0.5431034482758621,202.5,92.5,0.1810344827586207,0.27586206896551724,0.3879310344827586,0.29310344827586204,0.39655172413793105,0.19827586206896552,0.1810344827586207,0.29310344827586204,0.09482758620689655,0.10344827586206896,0.05172413793103448,0.08620689655172414,0.11206896551724138,0.11206896551724138,0.07758620689655173,0.04310344827586207,0.0603448275862069,0.05172413793103448,0.034482758620689655,0.11206896551724138,0.3879310344827586,0.19827586206896552
SPY,hist_2019_2021,up_close_dn_open,recovered,63,,355.0,30.0,0.015873015873015872,0.047619047619047616,0.6507936507936508,0.4603174603174603,0.6349206349206349,0.047619047619047616,0.015873015873015872,0.4603174603174603,0.031746031746031744,0.1746031746031746,0.031746031746031744,0.12698412698412698,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.07936507936507936,0.015873015873015872,0.047619047619047616,0.07936507936507936,0.6507936507936508,0.047619047619047616
SPY,hist_2019_2021,up_close_dn_open,failed,53,,45.0,275.0,0.37735849056603776,0.5471698113207547,0.07547169811320754,0.09433962264150944,0.11320754716981132,0.37735849056603776,0.37735849056603776,0.09433962264150944,0.16981132075471697,0.018867924528301886,0.07547169811320754,0.03773584905660377,0.18867924528301888,0.18867924528301888,0.05660377358490566,0.03773584905660377,0.03773584905660377,0.09433962264150944,0.018867924528301886,0.1509433962264151,0.07547169811320754,0.37735849056603776
SPY,hist_2019_2021,up_close_up_open,all,151,0.5496688741721855,230.0,115.0,0.23178807947019867,0.2980132450331126,0.33112582781456956,0.2913907284768212,0.3973509933774834,0.25165562913907286,0.23178807947019867,0.2913907284768212,0.06622516556291391,0.10596026490066225,0.06622516556291391,0.052980132450331126,0.052980132450331126,0.10596026490066225,0.052980132450331126,0.09271523178807947,0.07947019867549669,0.033112582781456956,0.11920529801324503,0.06622516556291391,0.33112582781456956,0.25165562913907286
SPY,hist_2019_2021,up_close_up_open,recovered,83,,365.0,25.0,0.04819277108433735,0.07228915662650602,0.5783132530120482,0.5060240963855421,0.6626506024096386,0.012048192771084338,0.04819277108433735,0.5060240963855421,0.024096385542168676,0.1566265060240964,0.024096385542168676,0.07228915662650602,0.060240963855421686,0.13253012048192772,0.060240963855421686,0.060240963855421686,0.07228915662650602,0.024096385542168676,0.13253012048192772,0.03614457831325301,0.5783132530120482,0.012048192771084338
SPY,hist_2019_2021,up_close_up_open,failed,68,,42.5,355.0,0.45588235294117646,0.5735294117647058,0.029411764705882353,0.029411764705882353,0.07352941176470588,0.5441176470588235,0.45588235294117646,0.029411764705882353,0.11764705882352941,0.04411764705882353,0.11764705882352941,0.029411764705882353,0.04411764705882353,0.07352941176470588,0.04411764705882353,0.1323529411764706,0.08823529411764706,0.04411764705882353,0.10294117647058823,0.10294117647058823,0.029411764705882353,0.5441176470588235
