recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail
L1_prior_up,15m_bb_mid,1,2,"QQQ,SPY",2/4,45.5,0.6448643410852714,0.00094089684634905,4.234292241445971e-05,43,0.5813953488372093,0.0008502238322866,0.014664961708867308,QQQ n=43 WR=58% avg=+0.085% Δ=+0.007% | SPY n=48 WR=71% avg=+0.103% Δ=+0.001%
raw_bb_dn,1w_candle_up,1,2,"QQQ,SPY",2/4,79.0,0.5878714859437751,0.000750359027378,6.371277515678712e-05,75,0.5733333333333334,0.0005703648849092,0.014645671889784695,QQQ n=83 WR=60% avg=+0.093% Δ=+0.009% | SPY n=75 WR=57% avg=+0.057% Δ=+0.004%
L1_prior_up,15m_below_sma9,1,2,"DIA,QQQ",2/4,31.5,0.6015151515151516,0.00115419540552085,0.00032019339057550236,30,0.5666666666666667,0.0009594818620029,0.014144243755469374,DIA n=33 WR=64% avg=+0.096% Δ=+0.007% | QQQ n=30 WR=57% avg=+0.135% Δ=+0.057%
L2_hvol,1d_above_sma9,1,2,"DIA,QQQ",2/4,31.5,0.6794871794871795,0.0010353762200048001,7.74729299299e-05,24,0.6666666666666666,0.0008872908561287,0.013883296263685943,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | QQQ n=24 WR=67% avg=+0.089% Δ=+0.015%
L1_prior_up,30m_candle_dn,1,2,"DIA,QQQ",2/4,29.0,0.6188769414575865,0.0011397107095128499,0.0003057086945675,27,0.5925925925925926,0.0010252420178974,0.013817216680813177,DIA n=31 WR=65% avg=+0.125% Δ=+0.036% | QQQ n=27 WR=59% avg=+0.103% Δ=+0.025%
L1_prior_up,1d_above_sma9,1,2,"DIA,QQQ",2/4,41.0,0.638125,0.0009516849692575,0.00011768295431215,32,0.62,0.0008904100109302,0.013677192729024859,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | QQQ n=32 WR=66% avg=+0.101% Δ=+0.024%
raw_bb_dn,1h_vwap_dn,1,2,"QQQ,SPY",2/4,16.5,0.5773809523809523,0.0014482998073683,0.00076165355514705,12,0.5714285714285714,0.0008719790065953,0.013213032389036136,QQQ n=21 WR=57% avg=+0.202% Δ=+0.118% | SPY n=12 WR=58% avg=+0.087% Δ=+0.034%
L3_rsi35,1d_rsi_mid,1,2,"DIA,IWM",2/4,19.0,0.6378205128205128,0.00128934766481185,0.0,12,0.5833333333333334,0.0012254774136195,0.012528737448306137,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000%
L3_rsi35,1w_bb_mid,1,2,"DIA,IWM",2/4,19.0,0.6378205128205128,0.00128934766481185,0.0,12,0.5833333333333334,0.0012254774136195,0.012528737448306137,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000%
L3_rsi35,1w_candle_dn,1,2,"DIA,IWM",2/4,19.0,0.6378205128205128,0.00128934766481185,0.0,12,0.5833333333333334,0.0012254774136195,0.012528737448306137,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | IWM n=12 WR=58% avg=+0.135% Δ=+0.000%
raw_bb_dn,1h_below_sma9,1,2,"DIA,SPY",2/4,52.0,0.6072356215213358,0.00074393392290175,0.0002862365978839,49,0.5818181818181818,0.0006418462975479,0.011857261233254205,DIA n=55 WR=58% avg=+0.064% Δ=+0.026% | SPY n=49 WR=63% avg=+0.085% Δ=+0.031%
raw_bb_dn,15m_rsi_hi,1,2,"QQQ,SPY",2/4,15.5,0.64375,0.00124374743280675,0.0005571011805855294,15,0.6,0.0005810390149674,0.01153105516188103,QQQ n=16 WR=69% avg=+0.191% Δ=+0.107% | SPY n=15 WR=60% avg=+0.058% Δ=+0.005%
L3_rsi35,1d_candle_dn,1,2,"IWM,SPY",2/4,12.0,0.7916666666666667,0.0012459671388705502,2.8848581090493803e-05,12,0.5833333333333334,0.0011387163617369,0.010995268514316994,IWM n=12 WR=58% avg=+0.135% Δ=+0.000% | SPY n=12 WR=100% avg=+0.114% Δ=+0.006%
raw_bb_dn,1w_bb_up,1,2,"QQQ,SPY",2/4,31.0,0.6122994652406417,0.0009371099796453501,0.00025046372742415,11,0.5882352941176471,0.0009316679434227,0.010836450007708519,QQQ n=51 WR=59% avg=+0.094% Δ=+0.010% | SPY n=11 WR=64% avg=+0.093% Δ=+0.040%
raw_bb_dn,1h_rsi_mid,1,2,"DIA,SPY",2/4,80.0,0.5920634920634921,0.00053328638447375,7.558905945598759e-05,70,0.5555555555555556,0.0004337171716442,0.0103188076008663,DIA n=90 WR=56% avg=+0.043% Δ=+0.005% | SPY n=70 WR=63% avg=+0.063% Δ=+0.010%
raw_bb_dn,30m_rsi_hi,1,2,"IWM,QQQ",2/4,20.5,0.5847701149425287,0.0010889176483758,0.0003364724275011852,12,0.5833333333333334,0.0009007238133749,0.010061410995188988,IWM n=12 WR=58% avg=+0.128% Δ=+0.061% | QQQ n=29 WR=59% avg=+0.090% Δ=+0.006%
L2_hvol,15m_vwap_up,1,2,"IWM,QQQ",2/4,15.5,0.6431818181818182,0.0011325309414497498,0.00010609279879028397,11,0.6363636363636364,0.0009165246738964,0.009796137228688674,IWM n=11 WR=64% avg=+0.135% Δ=+0.003% | QQQ n=20 WR=65% avg=+0.092% Δ=+0.018%
raw_bb_dn,15m_rsi_lo,1,2,"DIA,SPY",2/4,16.5,0.7596153846153846,0.00073872048268065,0.00028102315766285,13,0.75,0.0006728723838409,0.007443399364006124,DIA n=20 WR=75% avg=+0.067% Δ=+0.029% | SPY n=13 WR=77% avg=+0.080% Δ=+0.027%
