symbol,setup,mechanic,overlay_id,iv_mult,n,wr,avg,med,p10,p05,worst,premium_cap_usd,modeled_only
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.0,58,0.6551724137931034,0.2015598251444978,0.09624012131856774,-0.20225113959679866,-0.27878289652334864,-0.753479618350003,250,True
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.25,58,0.6206896551724138,0.1335407286007569,0.05574047073886956,-0.1819908347338183,-0.24309683539428562,-0.6671454460028263,250,True
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.5,58,0.603448275862069,0.09032928318522435,0.03066803277125585,-0.16821865212382897,-0.21827468703132294,-0.5977199821375996,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,58,0.6551724137931034,0.1723606136630784,0.11164171393841293,-0.162285160428322,-0.2484047937795832,-0.7192506972538008,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,58,0.6551724137931034,0.12330134105179581,0.07907793557177611,-0.1307615128389049,-0.20106171547859977,-0.6119084130386099,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,58,0.6379310344827587,0.09387675624250703,0.05912563811939586,-0.11023677662929786,-0.16856460751590677,-0.5266348118820078,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,58,0.6896551724137931,0.4954666961192326,0.16734022788386216,-0.2683902758138689,-0.31391126107250233,-0.753479618350003,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,58,0.6551724137931034,0.3322576442249364,0.09551800970427005,-0.24260480379091431,-0.309181398917657,-0.6671454460028263,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,58,0.603448275862069,0.2271792601026931,0.051631115987599174,-0.22242359317883859,-0.2965821956130189,-0.5977199821375996,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,58,0.6896551724137931,0.420066074863683,0.23819254577148286,-0.17133677101856634,-0.26097122188639066,-0.7192506972538008,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,58,0.6896551724137931,0.31827468474807963,0.17626763790226618,-0.14332052091071146,-0.2135835275948206,-0.6119084130386099,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,58,0.6724137931034483,0.25448238113500943,0.13808154323370192,-0.12265078772444371,-0.17985168376864408,-0.5266348118820078,250,True
