recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail
L3_rsi35,1d_bb_mid+1h_bb_mid,2,3,"DIA,QQQ,SPY",3/4,21.0,0.794043374925728,0.0014949974444313334,5.785575240351033e-05,17,0.7083333333333334,0.0010896139876579,0.025793400640079546,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=17 WR=76% avg=+0.214% Δ=+0.013% | SPY n=22 WR=91% avg=+0.109% Δ=+0.001%
L3_rsi35,1h_bb_mid+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,19.333333333333332,0.798015873015873,0.0015483560751603,0.00011121438313248411,14,0.7083333333333334,0.0011650539520767,0.025430146127001296,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=20 WR=90% avg=+0.117% Δ=+0.008%
L2_hvol,15m_candle_dn+1d_bb_mid,2,3,"DIA,IWM,SPY",3/4,23.0,0.6936507936507935,0.0015149927417458335,0.0002874887509133079,18,0.6666666666666666,0.0012098114825191,0.025321768168887055,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=21 WR=71% avg=+0.140% Δ=+0.022%
L1_prior_up,15m_candle_dn+1d_above_sma9,2,3,"DIA,QQQ,SPY",3/4,27.0,0.6433183183183183,0.0014961500762253332,0.0006003107899588792,20,0.6,0.0009543498748572,0.02529176027413485,DIA n=37 WR=62% avg=+0.095% Δ=+0.006% | QQQ n=20 WR=60% avg=+0.214% Δ=+0.136% | SPY n=24 WR=71% avg=+0.139% Δ=+0.038%
L3_rsi35,1w_above_sma9+30m_bb_mid,2,3,"DIA,QQQ,SPY",3/4,20.0,0.7926739926739926,0.0015275046964860666,9.03630044582592e-05,14,0.6923076923076923,0.0011345248164665,0.025245504663403105,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=14 WR=79% avg=+0.222% Δ=+0.022% | SPY n=20 WR=90% avg=+0.113% Δ=+0.005%
L3_rsi35,15m_below_sma9+30m_rsi_mid,2,3,"DIA,QQQ,SPY",3/4,14.666666666666666,0.8208360267183797,0.001677864408826667,0.00024072271679880715,13,0.7647058823529411,0.0010969899442736,0.02502898194837811,DIA n=17 WR=76% avg=+0.180% Δ=+0.058% | QQQ n=13 WR=77% avg=+0.213% Δ=+0.013% | SPY n=14 WR=93% avg=+0.110% Δ=+0.002%
L2_hvol,15m_candle_dn+1d_above_sma9,2,3,"DIA,QQQ,SPY",3/4,20.666666666666668,0.688235294117647,0.0016176683278355001,0.0005862264345967078,15,0.6,0.0012098114825191,0.024926044394924404,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | QQQ n=15 WR=60% avg=+0.212% Δ=+0.139% | SPY n=17 WR=76% avg=+0.152% Δ=+0.034%
L3_rsi35,1w_above_sma9+1w_rsi_hi,2,3,"DIA,QQQ,SPY",3/4,18.333333333333332,0.7748868778280542,0.0016152161045597665,0.0001780744125319,12,0.6923076923076923,0.0012254774136195,0.02490503657902201,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=17 WR=88% avg=+0.130% Δ=+0.022%
L2_hvol,1d_bb_mid+1h_candle_dn,2,3,"DIA,IWM,QQQ",3/4,14.333333333333334,0.7234695129431973,0.0017913680811146332,0.0007125887913813333,11,0.6153846153846154,0.0016917667760928,0.024806438286471992,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=11 WR=82% avg=+0.169% Δ=+0.096%
L3_rsi35,1h_bb_mid+1w_rsi_hi,2,3,"DIA,QQQ,SPY",3/4,17.333333333333332,0.7777777777777778,0.0016343700561021,0.00019722836407426867,12,0.7083333333333334,0.001257502414032,0.0247791896227588,DIA n=24 WR=71% avg=+0.126% Δ=+0.003% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=16 WR=88% avg=+0.132% Δ=+0.024%
L2_hvol,1w_rsi_hi+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,30.0,0.6800900249176111,0.0012872274055473001,5.972341471475615e-05,22,0.6206896551724138,0.0011981911102247,0.02462185832017213,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=22 WR=73% avg=+0.134% Δ=+0.016%
L3_rsi35,1w_rsi_hi+30m_bb_mid,2,3,"DIA,QQQ,SPY",3/4,18.0,0.7724358974358975,0.0016109745827936998,0.00017383289076586665,12,0.6923076923076923,0.0012254774136195,0.024575802974893167,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=12 WR=75% avg=+0.232% Δ=+0.032% | SPY n=16 WR=88% avg=+0.129% Δ=+0.021%
L2_hvol,1w_above_sma9+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,31.0,0.6643324491600353,0.0012520770178179668,2.457302698542347e-05,25,0.6206896551724138,0.0011834615838809,0.024169748266088358,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=25 WR=68% avg=+0.125% Δ=+0.007%
L2_hvol,1h_bb_mid+1h_candle_dn,2,3,"DIA,IWM,QQQ",3/4,14.666666666666666,0.7007422402159245,0.0017372862677530333,0.0006585069780197333,12,0.6153846153846154,0.001529521336008,0.024033200256648138,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=12 WR=75% avg=+0.153% Δ=+0.080%
L2_hvol,1h_bb_mid+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,29.0,0.6528592846433926,0.0012731416117883001,4.5637620955755196e-05,23,0.6206896551724138,0.0012410724388418,0.023625643429235385,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=23 WR=65% avg=+0.126% Δ=+0.008%
L2_hvol,1d_bb_mid+1d_rsi_mid,2,3,"DIA,IWM,SPY",3/4,27.333333333333332,0.6995705443981306,0.0012872315317861334,5.972754095356667e-05,14,0.6206896551724138,0.0011834615838809,0.023313041873689773,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=14 WR=79% avg=+0.136% Δ=+0.018%
L2_hvol,1h_candle_dn+1w_above_sma9,2,3,"DIA,IWM,QQQ",3/4,14.333333333333334,0.6931664826401668,0.0017096433676993,0.0006308640779659999,11,0.6153846153846154,0.0014465926358468,0.023298393817903135,DIA n=19 WR=74% avg=+0.190% Δ=+0.072% | IWM n=13 WR=62% avg=+0.178% Δ=+0.046% | QQQ n=11 WR=73% avg=+0.145% Δ=+0.071%
L1_prior_up,1h_bb_mid+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,38.666666666666664,0.6483796296296296,0.0010517242807798,0.000155884994513253,32,0.6222222222222222,0.0009682299960212,0.022443261600482965,DIA n=45 WR=62% avg=+0.097% Δ=+0.008% | QQQ n=32 WR=66% avg=+0.105% Δ=+0.027% | SPY n=39 WR=67% avg=+0.114% Δ=+0.012%
L2_hvol,1d_bb_mid+1w_above_sma9,2,3,"DIA,IWM,QQQ",3/4,31.666666666666668,0.6475423257032452,0.0011470653252828667,6.828603554956667e-05,27,0.6206896551724138,0.0009372031029176,0.022282670049177347,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=27 WR=63% avg=+0.094% Δ=+0.020%
L2_hvol,1d_bb_mid+1h_bb_mid,2,3,"DIA,IWM,QQQ",3/4,31.666666666666668,0.6397690555643837,0.0011269839250515,4.820463531822494e-05,29,0.6129032258064516,0.0008193480472626,0.02175238114761236,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | QQQ n=31 WR=61% avg=+0.082% Δ=+0.009%
L3_rsi35,1h_rsi_mid+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,14.0,0.7411255411255412,0.0015238486788914667,0.0003039438358316,10,0.6,0.0014791158068451,0.020774993778711115,DIA n=21 WR=71% avg=+0.149% Δ=+0.026% | IWM n=10 WR=60% avg=+0.160% Δ=+0.025% | SPY n=11 WR=91% avg=+0.148% Δ=+0.040%
