symbol,tag,cond,split,n,p_recovered,med_high_min,med_low_min,p_high_first30,p_high_first60,p_high_last60,p_low_first30,p_low_first60,p_low_last60,hi_09:30-10:00,lo_09:30-10:00,hi_10:00-10:30,lo_10:00-10:30,hi_10:30-11:00,lo_10:30-11:00,hi_11:00-12:00,lo_11:00-12:00,hi_12:00-13:00,lo_12:00-13:00,hi_13:00-14:00,lo_13:00-14:00,hi_14:00-15:00,lo_14:00-15:00,hi_15:00-16:00,lo_15:00-16:00
QQQ,hist_2014_2015,dn_close_dn_open,all,30,0.4666666666666667,150.0,70.0,0.36666666666666664,0.43333333333333335,0.16666666666666666,0.3,0.4,0.1,0.36666666666666664,0.3,0.06666666666666667,0.1,0.03333333333333333,0.2,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.1,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.1
QQQ,hist_2014_2015,dn_close_dn_open,recovered,14,,295.0,20.0,0.0,0.07142857142857142,0.35714285714285715,0.5714285714285714,0.7142857142857143,0.0,0.0,0.5714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.0,0.35714285714285715,0.0
QQQ,hist_2014_2015,dn_close_dn_open,failed,16,,15.0,237.5,0.6875,0.75,0.0,0.0625,0.125,0.1875,0.6875,0.0625,0.0625,0.0625,0.0625,0.1875,0.0625,0.0625,0.0625,0.0625,0.0,0.125,0.0625,0.25,0.0,0.1875
QQQ,hist_2014_2015,dn_close_up_open,all,38,0.4473684210526316,130.0,60.0,0.2631578947368421,0.34210526315789475,0.2631578947368421,0.42105263157894735,0.5,0.23684210526315788,0.2631578947368421,0.42105263157894735,0.07894736842105263,0.07894736842105263,0.05263157894736842,0.02631578947368421,0.13157894736842105,0.02631578947368421,0.05263157894736842,0.07894736842105263,0.02631578947368421,0.05263157894736842,0.13157894736842105,0.07894736842105263,0.2631578947368421,0.23684210526315788
QQQ,hist_2014_2015,dn_close_up_open,recovered,17,,370.0,0.0,0.0,0.0,0.5882352941176471,0.7647058823529411,0.8235294117647058,0.058823529411764705,0.0,0.7647058823529411,0.0,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,0.5882352941176471,0.058823529411764705
QQQ,hist_2014_2015,dn_close_up_open,failed,21,,30.0,280.0,0.47619047619047616,0.6190476190476191,0.0,0.14285714285714285,0.23809523809523808,0.38095238095238093,0.47619047619047616,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.14285714285714285,0.0,0.047619047619047616,0.14285714285714285,0.0,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.0,0.38095238095238093
QQQ,hist_2014_2015,up_close_dn_open,all,41,0.5365853658536586,210.0,110.0,0.2682926829268293,0.3170731707317073,0.3170731707317073,0.3170731707317073,0.3902439024390244,0.2926829268292683,0.2682926829268293,0.3170731707317073,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.0975609756097561,0.024390243902439025,0.024390243902439025,0.12195121951219512,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.3170731707317073,0.2926829268292683
QQQ,hist_2014_2015,up_close_dn_open,recovered,22,,337.5,15.0,0.0,0.0,0.5909090909090909,0.5909090909090909,0.7272727272727273,0.0,0.0,0.5909090909090909,0.0,0.13636363636363635,0.0,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.0,0.5909090909090909,0.0
QQQ,hist_2014_2015,up_close_dn_open,failed,19,,15.0,370.0,0.5789473684210527,0.6842105263157895,0.0,0.0,0.0,0.631578947368421,0.5789473684210527,0.0,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.0,0.631578947368421
QQQ,hist_2014_2015,up_close_up_open,all,36,0.5833333333333334,180.0,72.5,0.25,0.4166666666666667,0.3055555555555556,0.3333333333333333,0.4722222222222222,0.1388888888888889,0.25,0.3333333333333333,0.16666666666666666,0.1388888888888889,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.3055555555555556,0.1388888888888889
QQQ,hist_2014_2015,up_close_up_open,recovered,21,,335.0,15.0,0.0,0.09523809523809523,0.5238095238095238,0.5714285714285714,0.7142857142857143,0.0,0.0,0.5714285714285714,0.09523809523809523,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.5238095238095238,0.0
QQQ,hist_2014_2015,up_close_up_open,failed,15,,15.0,215.0,0.6,0.8666666666666667,0.0,0.0,0.13333333333333333,0.3333333333333333,0.6,0.0,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,0.3333333333333333
