setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
L1,fixed_5,full,46,0.6086956521739131,0.001956218618806354,0.0015071678958654688,-0.0036173420574148185,-0.0056665113233341224,-0.010177331699714132,0.08998605646509228,0.004857433898196706,-0.0028871392181733513,4.608695652173913,0.8913043478260869,0.8043478260869565,time:84.8%;eod:15.2%
L1,fixed_5,H1,27,0.6666666666666666,0.002776373910766292,0.0030198669121390687,-0.0026806262421678493,-0.003384076698412608,-0.010177331699714132,0.07496209559068989,0.004876094927881658,-0.002787775619083055,4.592592592592593,0.9259259259259259,0.8148148148148148,time:88.9%;eod:11.1%
L1,fixed_5,H2,19,0.5263157894736842,0.0007907347828632835,0.0001834699988401134,-0.0052800875614376075,-0.006222617979982925,-0.009646753409336406,0.015023960874402387,0.004413741599794685,-0.003862998941452811,4.631578947368421,0.8421052631578947,0.7894736842105263,time:78.9%;eod:21.1%
L1,fixed_8,full,41,0.7560975609756098,0.0027491812881487517,0.003725321455347874,-0.005726088657344364,-0.006956676230380654,-0.012174625103857695,0.11271643281409882,0.006338227519178341,-0.0029865028172636476,7.195121951219512,0.9512195121951219,0.8780487804878049,time:82.9%;eod:17.1%
L1,fixed_8,H1,25,0.8,0.003641454690851815,0.004087050275299653,-0.001287908428393991,-0.00159562148320751,-0.00934360770943543,0.09103636727129538,0.006635220940021558,-0.002787775619083055,7.2,0.96,0.88,time:88.0%;eod:12.0%
L1,fixed_8,H2,16,0.6875,0.001355004096425215,0.0022266605938212614,-0.006757289116306409,-0.008261163448749914,-0.012174625103857695,0.02168006554280344,0.005653487696180792,-0.00397497521832757,7.1875,0.9375,0.875,time:75.0%;eod:25.0%
L1,fixed_12,full,37,0.6216216216216216,0.0024926481963549172,0.001258859936063672,-0.006334538861650807,-0.008448214859695647,-0.01039171479960821,0.09222798326513193,0.007258986443236859,-0.003862998941452811,10.594594594594595,0.9459459459459459,0.8648648648648649,time:73.0%;eod:27.0%
L1,fixed_12,H1,24,0.6666666666666666,0.0034739960274923535,0.0033850155625289036,-0.002777001397574352,-0.006632479936205487,-0.01039171479960821,0.08337590465981648,0.007356533085585593,-0.0028871392181733513,10.625,0.9583333333333334,0.875,time:75.0%;eod:25.0%
L1,fixed_12,H2,13,0.5384615384615384,0.0006809291234858039,0.0008247811593498078,-0.00775879663845791,-0.008629456085654996,-0.009173179763533046,0.00885207860531545,0.004709258640643421,-0.0038639174871851756,10.538461538461538,0.9230769230769231,0.8461538461538461,time:69.2%;eod:30.8%
L1,fixed_18,full,35,0.6857142857142857,0.003767665267698361,0.0026382996768881117,-0.00490725215599681,-0.005891046042140735,-0.0064913261313751525,0.13186828436944265,0.00773165796989872,-0.0038834619326433284,14.857142857142858,0.9428571428571428,0.9142857142857143,time:62.9%;eod:37.1%
