symbol,setup,mechanic,overlay_id,iv_mult,n,wr,avg,med,p10,p05,worst,premium_cap_usd,modeled_only
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.0,26,0.5,0.11582041587822002,0.008901724866255845,-0.1282169881399764,-0.1977589463441669,-0.5541517900439952,250,True
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.25,26,0.46153846153846156,0.06995166467394143,-0.005526508237400085,-0.11614132375505526,-0.17532831764764945,-0.4795653384082418,250,True
QQQ,L1,fixed_24,QQQ_ATM_CALL_2DTE,1.5,26,0.46153846153846156,0.04069726738800365,-0.015085137417075178,-0.10795861297812265,-0.1600825822597527,-0.42492759203080355,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,26,0.6153846153846154,0.11289281725499285,0.03862705085345319,-0.08682960910960147,-0.15642678940312246,-0.5064679440459431,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,26,0.6153846153846154,0.07929214575633367,0.02528067616193852,-0.0721423581893475,-0.12658879595273256,-0.4148804157219208,250,True
QQQ,L1,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,26,0.5769230769230769,0.05915123499516482,0.01688362027998913,-0.062462245011255524,-0.1068967034634915,-0.3493521627432563,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,26,0.6153846153846154,0.2581936765421624,0.08519015495038973,-0.16521335053803793,-0.21950253181461232,-0.2333253875581751,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,26,0.5769230769230769,0.15901905617356782,0.041642137625767295,-0.14930051673594613,-0.20331053864253942,-0.247515830393218,250,True
QQQ,L1,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,26,0.5,0.09553002625576641,0.010219173991882102,-0.13852510062595763,-0.19235885030795427,-0.2569337270774701,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,26,0.6923076923076923,0.2739072140351736,0.1220438809610257,-0.12426906001857535,-0.1272117937260825,-0.1310196304061172,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,26,0.6923076923076923,0.2036847785771823,0.08685467097246691,-0.10221784713724769,-0.10617807011527527,-0.10744900158030635,250,True
QQQ,L1,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,26,0.6538461538461539,0.16030872519701608,0.06565626545619807,-0.08701048421853935,-0.09034285686682275,-0.0932211869027939,250,True
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.0,23,0.5217391304347826,0.10659867312553534,0.018186189080181325,-0.14166060077645093,-0.2079908595580722,-0.5541517900439952,250,True
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.25,23,0.4782608695652174,0.06320783631542745,-0.004961472037554149,-0.12046934882982623,-0.1854321976633747,-0.4795653384082418,250,True
QQQ,L2,fixed_24,QQQ_ATM_CALL_2DTE,1.5,23,0.391304347826087,0.03569194850221801,-0.0080215978578696,-0.10617032031255665,-0.17009428319174658,-0.42492759203080355,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,23,0.6086956521739131,0.09715091302365457,0.03577283807519649,-0.119847622384764,-0.1631523582596972,-0.5064679440459431,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,23,0.6086956521739131,0.06797371670916089,0.022304213355227587,-0.09736750956030013,-0.13196668736759032,-0.4148804157219208,250,True
QQQ,L2,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,23,0.5652173913043478,0.050433329829552315,0.014010102413875014,-0.08284878257389779,-0.11131989265584186,-0.3493521627432563,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,23,0.6521739130434783,0.18520245091229787,0.08278316548712916,-0.14166060077645093,-0.1466346894085246,-0.2333253875581751,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,23,0.6086956521739131,0.10612723532788786,0.035773127749882505,-0.12046934882982623,-0.13938132552449836,-0.247515830393218,250,True
QQQ,L2,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,23,0.4782608695652174,0.05564051005568648,-0.0007312988069878568,-0.10775922664000172,-0.134499329545393,-0.2569337270774701,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,23,0.6956521739130435,0.21613281054411437,0.10937354866721916,-0.09993557130361612,-0.12132328375250635,-0.125739174916902,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,23,0.6956521739130435,0.15968285808476726,0.07861056030157054,-0.08178769548238163,-0.09853342421937193,-0.10744900158030635,250,True
QQQ,L2,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,23,0.6521739130434783,0.12490833954010618,0.05957660811116239,-0.0700459822910029,-0.08381477003781876,-0.0932211869027939,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.0,14,0.9285714285714286,0.22312612277566363,0.16377865920024592,0.01579273373612895,-0.18435459786132907,-0.5541517900439952,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.25,14,0.8571428571428571,0.1507084333867421,0.10751651824364583,-0.0021350054985893813,-0.17180737232709453,-0.4795653384082418,250,True
QQQ,L3,fixed_24,QQQ_ATM_CALL_2DTE,1.5,14,0.7857142857142857,0.10454393996938294,0.0707507594027097,-0.016150050120941728,-0.16312129724536373,-0.42492759203080355,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,14,0.9285714285714286,0.1945200066514686,0.17143567257847792,0.022395656927067378,-0.16982817580492907,-0.5064679440459431,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,14,0.9285714285714286,0.141698689502158,0.1262689443901921,0.012395264479501057,-0.14255030106024705,-0.4148804157219208,250,True
QQQ,L3,fixed_24,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,14,0.8571428571428571,0.10963628895110844,0.09866186321940329,0.006163280139430872,-0.12263109974148624,-0.3493521627432563,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.0,14,0.8571428571428571,0.3672740277917543,0.27233118948995316,-0.023640228248561154,-0.1077291812993406,-0.2333253875581751,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.25,14,0.8571428571428571,0.23544405658438378,0.1510099077353665,-0.03603625141694626,-0.12206977287459617,-0.247515830393218,250,True
QQQ,L3,fixed_eod,QQQ_ATM_CALL_2DTE,1.5,14,0.7857142857142857,0.15135079833096912,0.08981136095815123,-0.045077673828045006,-0.131580925506924,-0.2569337270774701,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.0,14,0.9285714285714286,0.3859360174410399,0.3614680284684225,0.012912075939809564,-0.036573106609764705,-0.125739174916902,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.25,14,0.9285714285714286,0.28929747301522796,0.2725378600626518,0.00544237200878921,-0.034949306110682005,-0.10744900158030635,250,True
QQQ,L3,fixed_eod,QQQ_CALL_SPREAD_1PCT_2DTE,1.5,14,0.8571428571428571,0.22952851832874804,0.21736278831471156,0.000745259047338609,-0.03298525819732441,-0.0932211869027939,250,True
