setup,mechanic,kind,bucket,n,und_wr,und_avg,opt_n,opt_wr,opt_avg,opt_med,opt_p05,vix_mean
L1_first,fixed_24,level,<13,5,0.8,0.0009288070548029677,5,0.6,0.004409104623288962,0.03373762620160381,-0.09023525900650846,12.438000106811524
L1_first,fixed_24,level,13-15,9,0.3333333333333333,-0.00010479948546354443,9,0.2222222222222222,-0.0906993563119962,-0.12209892682916623,-0.2784511453741503,14.115555551317003
L1_first,fixed_24,level,15-18,45,0.7333333333333333,0.0007463342548587567,45,0.28888888888888886,-0.020126347229305428,-0.04409865849075856,-0.20958297620056185,16.596222156948514
L1_first,fixed_24,level,18-22,48,0.625,0.0007059295886630935,48,0.3958333333333333,-0.03432178652425307,-0.02471719275896256,-0.3038700449440026,20.260833303133648
L1_first,fixed_24,level,22-30,77,0.7402597402597403,0.001987281653769265,77,0.5194805194805194,0.026679647005336735,0.00044885366808000704,-0.18570301394321914,25.409610401500355
L1_first,fixed_24,level,>=30,33,0.696969696969697,0.004330882329390634,33,0.6060606060606061,0.05700023072415261,0.06960028056865597,-0.21696784390473545,42.22969685178815
L1_first,fixed_24,pct252,pct 0-20 (low),69,0.6956521739130435,0.0008596861740425043,69,0.37681159420289856,-0.014416086733269017,-0.02847462297467096,-0.21932436318442136,17.859130444733992
L1_first,fixed_24,pct252,pct 20-40,39,0.717948717948718,0.0014896257123511922,39,0.48717948717948717,0.012101337726235083,-0.011448801472363379,-0.2463906072147107,20.414102505414913
L1_first,fixed_24,pct252,pct 40-60,39,0.5897435897435898,0.000782710253601349,39,0.41025641025641024,-0.03419126246672142,-0.01684862099623452,-0.31345327658910194,23.039487178509052
L1_first,fixed_24,pct252,pct 60-80,37,0.7297297297297297,0.00198607534544477,37,0.43243243243243246,0.008407475992945692,-0.017281807936178728,-0.20222062027230825,26.446486473083496
L1_first,fixed_24,pct252,pct 80-100 (high),33,0.7272727272727273,0.004414729375057619,33,0.6060606060606061,0.06463941845057848,0.06960028056865597,-0.21696784390473545,41.0063634930235
L1_first,fixed_eod,level,<13,5,0.6,0.0014318228642369326,5,0.4,-0.0686220334115325,-0.25445917222765924,-0.3296485206079602,12.438000106811524
L1_first,fixed_eod,level,13-15,9,0.6666666666666666,0.0013288560088246554,9,0.2222222222222222,-0.06135610165558715,-0.1124682045285259,-0.3155399009640208,14.115555551317003
L1_first,fixed_eod,level,15-18,45,0.7555555555555555,0.0017524029303761146,45,0.4666666666666667,0.005950599214775309,-0.009497415702889311,-0.2476316543802707,16.596222156948514
L1_first,fixed_eod,level,18-22,48,0.75,0.0029580724562532127,48,0.4375,0.029589339033407852,-0.058328430041243384,-0.26732313790086376,20.260833303133648
L1_first,fixed_eod,level,22-30,77,0.8051948051948052,0.003945837500725189,77,0.5064935064935064,0.039735574889912674,0.002704089284184086,-0.27663836939256753,25.409610401500355
L1_first,fixed_eod,level,>=30,33,0.8181818181818182,0.011505430845771322,33,0.5757575757575758,0.25214847287565284,0.15494265356608738,-0.2733312560782837,42.22969685178815
L1_first,fixed_eod,pct252,pct 0-20 (low),69,0.7246376811594203,0.002112776939302375,69,0.42028985507246375,0.00033441515924824357,-0.029936420245024187,-0.3262000118672124,17.859130444733992
L1_first,fixed_eod,pct252,pct 20-40,39,0.8461538461538461,0.0032136202202169314,39,0.5384615384615384,0.047392956466622845,0.01454637151742566,-0.20865459785573545,20.414102505414913
L1_first,fixed_eod,pct252,pct 40-60,39,0.717948717948718,0.002743738286989318,39,0.38461538461538464,-0.011585160319116331,-0.04188102705724961,-0.33164009050622,23.039487178509052
L1_first,fixed_eod,pct252,pct 60-80,37,0.8108108108108109,0.004645942080333143,37,0.5405405405405406,0.07623790831548986,0.012201983004936245,-0.27663836939256753,26.446486473083496
L1_first,fixed_eod,pct252,pct 80-100 (high),33,0.8181818181818182,0.011316808668749857,33,0.5757575757575758,0.24039114316110094,0.1395271259873574,-0.2733312560782837,41.0063634930235
L2_first,fixed_24,level,<13,5,1.0,0.0007454472102771401,5,0.4,-0.018190828091928624,-0.036438379641814955,-0.0672051104640092,12.438000106811524
L2_first,fixed_24,level,13-15,9,0.3333333333333333,-0.00010479948546354443,9,0.2222222222222222,-0.0906993563119962,-0.12209892682916623,-0.2784511453741503,14.115555551317003
L2_first,fixed_24,level,15-18,42,0.7142857142857143,0.0007534585387506574,42,0.3333333333333333,-0.01293600584100429,-0.02986420984383642,-0.2067146826485436,16.629999910082137
L2_first,fixed_24,level,18-22,45,0.5777777777777777,0.0004515730979712663,45,0.35555555555555557,-0.04953846567400569,-0.030570604741538054,-0.3066605980993645,20.351333321465386
L2_first,fixed_24,level,22-30,68,0.7058823529411765,0.0018133852574271695,68,0.5,0.020508654587919537,-0.002153929106879171,-0.19270511105229454,25.375147034140195
L2_first,fixed_24,level,>=30,27,0.6666666666666666,0.003227936129429945,27,0.5555555555555556,0.030081517362109775,0.06938613537528382,-0.23082398459705422,41.71629623130516
L2_first,fixed_24,pct252,pct 0-20 (low),64,0.703125,0.0008269766373059673,64,0.359375,-0.011870944492390555,-0.028385955636262783,-0.2134473145973137,17.916562497615814
L2_first,fixed_24,pct252,pct 20-40,36,0.6944444444444444,0.0012321386735476498,36,0.4722222222222222,-0.006701100255038268,-0.01814567798429495,-0.24689775164939695,20.253333303663467
L2_first,fixed_24,pct252,pct 40-60,38,0.5263157894736842,0.0007024499554556342,38,0.3684210526315789,-0.03733914344767616,-0.025754397975422116,-0.3149892470637293,23.052631553850677
L2_first,fixed_24,pct252,pct 60-80,30,0.7,0.0016393932627040602,30,0.43333333333333335,-0.004377404140121921,-0.03039489582005145,-0.2137672905853783,26.180333296457928
L2_first,fixed_24,pct252,pct 80-100 (high),28,0.6785714285714286,0.0032877203033704005,28,0.5714285714285714,0.038506698740899,0.056502855757613824,-0.2285146278150011,39.934285572596956
L2_first,fixed_eod,level,<13,5,0.4,0.00138143783559854,5,0.4,-0.03871952131604095,-0.1985657515138768,-0.3109246926552251,12.438000106811524
L2_first,fixed_eod,level,13-15,9,0.6666666666666666,0.0013288560088246554,9,0.2222222222222222,-0.06135610165558715,-0.1124682045285259,-0.3155399009640208,14.115555551317003
L2_first,fixed_eod,level,15-18,42,0.7619047619047619,0.0017196109687206713,42,0.47619047619047616,0.021039501231309213,-0.006271313912618315,-0.22809260672640627,16.629999910082137
L2_first,fixed_eod,level,18-22,45,0.7333333333333333,0.002674191673278393,45,0.4,0.0185723410735496,-0.06231450588076448,-0.2702070611191967,20.351333321465386
L2_first,fixed_eod,level,22-30,68,0.8088235294117647,0.003574067393720075,68,0.5147058823529411,0.04032348227825355,0.003897692851838497,-0.22740007069164705,25.375147034140195
L2_first,fixed_eod,level,>=30,27,0.7777777777777778,0.009521438009362226,27,0.5185185185185185,0.20466253761679915,0.07041649039360331,-0.2948196041699667,41.71629623130516
L2_first,fixed_eod,pct252,pct 0-20 (low),64,0.703125,0.0020885767078744613,64,0.421875,0.012398225400861511,-0.02073111704577929,-0.32689238834071693,17.916562497615814
L2_first,fixed_eod,pct252,pct 20-40,36,0.8611111111111112,0.0029678500367165913,36,0.5277777777777778,0.03759808028240455,0.007966861995399088,-0.20938551592242768,20.253333303663467
L2_first,fixed_eod,pct252,pct 40-60,38,0.6842105263157895,0.0024741242730371947,38,0.39473684210526316,-0.007072375189916865,-0.023665244886309333,-0.2785674250650968,23.052631553850677
L2_first,fixed_eod,pct252,pct 60-80,30,0.8333333333333334,0.00381039403015646,30,0.5,0.056213071324624234,-0.005640204297637674,-0.25626917368993946,26.180333296457928
L2_first,fixed_eod,pct252,pct 80-100 (high),28,0.7857142857142857,0.009382304798610202,28,0.5357142857142857,0.20274421395626654,0.08842195105030481,-0.29123821282135287,39.934285572596956
L3_first,fixed_24,level,<13,4,0.75,0.000837376569791125,4,0.5,0.00923548713070757,-0.0013503767201055727,-0.11071185470323136,12.46750020980835
L3_first,fixed_24,level,13-15,8,0.375,0.00028827370246284974,8,0.375,-0.048660691479493215,-0.07769367802481336,-0.28086928467009376,14.15625
L3_first,fixed_24,level,15-18,22,0.6363636363636364,0.001033604731761741,22,0.45454545454545453,0.01692187433857217,-0.010777863121586961,-0.2086207460933953,16.725454460490834
L3_first,fixed_24,level,18-22,34,0.5882352941176471,0.001082491083624979,34,0.38235294117647056,0.000991437190478362,-0.044231879297534415,-0.32040082723590324,20.41970583971809
L3_first,fixed_24,level,22-30,50,0.84,0.0027384152966530824,50,0.58,0.07664871849235118,0.0353816895743837,-0.17586257045127862,25.252200050354006
L3_first,fixed_24,level,>=30,19,0.6842105263157895,0.0043018110534446055,19,0.6842105263157895,0.0868396978471581,0.11332397266758365,-0.20140532453661902,41.35999960648386
L3_first,fixed_24,pct252,pct 0-20 (low),43,0.6511627906976745,0.0012839890494223724,43,0.4186046511627907,0.030459231182157473,-0.016271152096743124,-0.2102602973429757,18.178604680438376
L3_first,fixed_24,pct252,pct 20-40,27,0.7407407407407407,0.0021697573711981807,27,0.5555555555555556,0.06046166722552552,0.025540055833692454,-0.24841918495345572,20.28666669351083
L3_first,fixed_24,pct252,pct 40-60,28,0.6785714285714286,0.0012164023104436783,28,0.5357142857142857,-0.007386775037816544,0.0006632478620650639,-0.3303489518100032,22.504285710198538
L3_first,fixed_24,pct252,pct 60-80,18,0.7777777777777778,0.0027152949974923167,18,0.4444444444444444,0.055612653057857814,-0.03039489582005145,-0.20125024183271084,26.803888850741917
L3_first,fixed_24,pct252,pct 80-100 (high),21,0.6666666666666666,0.004148824709246615,21,0.6666666666666666,0.08569650906765534,0.11332397266758365,-0.19849298964831041,39.60904720851353
L3_first,fixed_eod,level,<13,4,0.5,0.0017625255070276,4,0.5,0.03815500283367257,-0.008339852637023637,-0.312805746395374,12.46750020980835
L3_first,fixed_eod,level,13-15,8,0.75,0.0018513583425538124,8,0.375,-0.019496402125881163,-0.05819633520149692,-0.3240815505230318,14.15625
L3_first,fixed_eod,level,15-18,22,0.7272727272727273,0.0021341203469218135,22,0.5454545454545454,0.04610082460277359,0.014668921765852994,-0.3504430987416941,16.725454460490834
L3_first,fixed_eod,level,18-22,34,0.8235294117647058,0.003945978938842282,34,0.4411764705882353,0.08401917223446863,-0.04907392317429582,-0.29250262729012433,20.41970583971809
L3_first,fixed_eod,level,22-30,50,0.86,0.004780215401010129,50,0.64,0.09131783399349491,0.054018749111790165,-0.2813989605355705,25.252200050354006
L3_first,fixed_eod,level,>=30,19,0.7894736842105263,0.01112289073354756,19,0.631578947368421,0.28670914900724265,0.19162670052803965,-0.23648549990442194,41.35999960648386
