recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail,kind
L3_rsi35,1d_bb_mid+1w_above_sma9,2,3,"DIA,QQQ,SPY",3/4,20.0,0.8144078144078145,0.0015968763576483002,0.00015973466562045686,13,0.6923076923076923,0.0011520482334688,0.026578943255606342,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=13 WR=85% avg=+0.241% Δ=+0.041% | SPY n=21 WR=90% avg=+0.115% Δ=+0.007%,pair
L2_hvol,15m_candle_dn+1w_rsi_hi,2,3,"DIA,IWM,SPY",3/4,21.0,0.6999999999999998,0.0016721682163213334,0.00044466422548877457,15,0.6666666666666666,0.0012098114825191,0.02646964842803715,DIA n=30 WR=70% avg=+0.121% Δ=+0.003% | IWM n=18 WR=67% avg=+0.193% Δ=+0.061% | SPY n=15 WR=73% avg=+0.187% Δ=+0.069%,pair
L2_hvol,1d_rsi_mid+1w_above_sma9,2,3,"DIA,IWM,SPY",3/4,26.666666666666668,0.6876657824933687,0.0015688542515859,0.0003413502607533333,12,0.6206896551724138,0.0011834615838809,0.026318950357365305,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=12 WR=75% avg=+0.220% Δ=+0.102%,pair
L2_hvol,30m_bb_mid,1,3,"DIA,IWM,SPY",3/4,34.666666666666664,0.6969250417526279,0.0012488464141295666,2.1342423297057857e-05,29,0.6206896551724138,0.0011981911102247,0.026304480916359792,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=36 WR=78% avg=+0.123% Δ=+0.005%,single
L2_hvol,1d_rsi_mid+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,27.666666666666668,0.7043324491600353,0.0014618855175466,0.00023438152671405614,15,0.6206896551724138,0.0011981911102247,0.02629100480226959,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=15 WR=80% avg=+0.187% Δ=+0.069%,pair
L2_hvol,1d_rsi_mid,1,3,"DIA,IWM,SPY",3/4,27.666666666666668,0.7043324491600353,0.0014569756754320002,0.00022947168459943332,15,0.6206896551724138,0.0011834615838809,0.026181329350786285,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=15 WR=80% avg=+0.187% Δ=+0.069%,single
L2_hvol,1d_rsi_mid+1w_bb_mid,2,3,"DIA,IWM,SPY",3/4,27.666666666666668,0.7043324491600353,0.0014569756754320002,0.00022947168459943332,15,0.6206896551724138,0.0011834615838809,0.026181329350786285,DIA n=39 WR=69% avg=+0.118% Δ=+0.000% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=15 WR=80% avg=+0.187% Δ=+0.069%,pair
L2_hvol,1d_rsi_mid+1h_bb_mid,2,3,"DIA,IWM,SPY",3/4,26.333333333333332,0.7021346469622332,0.0014761792937523003,0.0002486753029197475,15,0.6206896551724138,0.0012410724388418,0.026075173251864557,DIA n=35 WR=69% avg=+0.124% Δ=+0.006% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=15 WR=80% avg=+0.187% Δ=+0.069%,pair
L2_hvol,1w_above_sma9+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,33.333333333333336,0.6876657824933687,0.0012724680161083,4.496402527575616e-05,29,0.6206896551724138,0.0011981911102247,0.026074284458945093,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=32 WR=75% avg=+0.130% Δ=+0.012%,pair
L2_hvol,1w_bb_mid+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,34.333333333333336,0.6948086396362259,0.0012461099151654,1.8605924332887092e-05,29,0.6206896551724138,0.0011981911102247,0.02606494985852538,DIA n=39 WR=69% avg=+0.120% Δ=+0.001% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=35 WR=77% avg=+0.122% Δ=+0.004%,pair
L3_rsi35,1d_bb_mid+1w_rsi_hi,2,3,"DIA,QQQ,SPY",3/4,18.0,0.797614150555327,0.0016932896159609666,0.0002561479239331,11,0.6923076923076923,0.0012254774136195,0.026026027800053222,DIA n=26 WR=69% avg=+0.123% Δ=+0.000% | QQQ n=11 WR=82% avg=+0.256% Δ=+0.055% | SPY n=17 WR=88% avg=+0.130% Δ=+0.022%,pair
L2_hvol,1h_bb_mid+30m_bb_mid,2,3,"DIA,IWM,SPY",3/4,32.666666666666664,0.6903699410798803,0.0012693912028025668,4.188721197001381e-05,29,0.6206896551724138,0.0012301569797326,0.02586223760107008,DIA n=35 WR=69% avg=+0.126% Δ=+0.007% | IWM n=29 WR=62% avg=+0.132% Δ=+0.000% | SPY n=34 WR=76% avg=+0.123% Δ=+0.005%,pair
L1_prior_up,1d_rsi_mid,1,3,"DIA,IWM,SPY",3/4,34.666666666666664,0.6496491228070176,0.0013806419344848666,0.0002369766644034,16,0.5789473684210527,0.0008904100109302,0.02582067535029914,DIA n=50 WR=62% avg=+0.089% Δ=+0.000% | IWM n=38 WR=58% avg=+0.152% Δ=+0.000% | SPY n=16 WR=75% avg=+0.173% Δ=+0.071%,single
