symbol,sample,setup,mechanic,window,n,wr,avg,med,p10_ret,p05_ret,worst_ret,sum,mfe_med,mae_med,avg_bars,p_hit15,p_hit25,exit_reasons
SPY,recent_60d,L2_first,fixed_8,full,24,0.75,0.001574385189077,0.0007407502743358,-0.0007056439542719,-0.0008678393495012,-0.0013401418931937,0.037785244537849,0.001406798826824,-0.00076760869933,7.291666666666667,0.4166666666666667,0.2083333333333333,time:87.5%;eod:12.5%
SPY,recent_60d,L2_first,fixed_8,H1,12,0.6666666666666666,0.000467097565156,0.0006481664323605,-0.0006262946515653,-0.000681971479833,-0.0007340509235985,0.0056051707818731,0.001406798826824,-0.0007445400698173,6.833333333333333,0.3333333333333333,0.0833333333333333,time:83.3%;eod:16.7%
SPY,recent_60d,L2_first,fixed_8,H2,12,0.8333333333333334,0.0026816728129979,0.0007571102954087,-0.0007726974883685,-0.0010933608413828,-0.0013401418931937,0.0321800737559758,0.0013406188166591,-0.0008868723189408,7.75,0.5,0.3333333333333333,time:91.7%;eod:8.3%
SPY,recent_60d,L2_first,fixed_12,full,24,0.6666666666666666,0.0012226227651117,0.0008274946351658,-0.0006919075381638,-0.0012546845420526,-0.003436063308666,0.0293429463626815,0.0017869154869248,-0.00076760869933,10.75,0.5833333333333334,0.2083333333333333,time:83.3%;eod:16.7%
SPY,recent_60d,L2_first,fixed_12,H1,12,0.6666666666666666,0.000283451636646,0.0003372072105792,-0.0005013555508434,-0.0018260119945862,-0.003436063308666,0.003401419639752,0.0018391661639443,-0.0007445400698173,10.166666666666666,0.5833333333333334,0.0833333333333333,time:83.3%;eod:16.7%
SPY,recent_60d,L2_first,fixed_12,H2,12,0.6666666666666666,0.0021617938935774,0.0011761713120067,-0.0007425598802446,-0.0010267982723431,-0.0013401418931937,0.0259415267229294,0.0016433330229114,-0.000897081358239,11.333333333333334,0.5833333333333334,0.3333333333333333,time:83.3%;eod:16.7%
SPY,recent_60d,L2_first,fixed_18,full,24,0.5833333333333334,0.0013633788826753,0.0006889898336482,-0.0012267058578174,-0.0028784010761669,-0.0042235084745474,0.0327210931842086,0.0019391504075537,-0.0007939367547694,15.583333333333334,0.625,0.375,time:79.2%;eod:20.8%
SPY,recent_60d,L2_first,fixed_18,H1,12,0.4166666666666667,6.500809725399719e-05,-0.0001453839067746,-0.0004948329444573,-0.0021803623192329,-0.0042235084745474,0.0007800971670479,0.0018391661639443,-0.0007445400698173,14.833333333333334,0.5833333333333334,0.25,time:75.0%;eod:25.0%
SPY,recent_60d,L2_first,fixed_18,H2,12,0.75,0.0026617496680967,0.001928383988315,-0.0013023298814016,-0.0021545144018266,-0.0031498585790445,0.0319409960171607,0.0024480634998528,-0.0009743584285918,16.333333333333332,0.6666666666666666,0.5,time:83.3%;eod:16.7%
SPY,recent_60d,L2_first,fixed_24,full,24,0.625,0.0016508465865323,0.0005627868093419,-0.0012554862766644,-0.0037925789889268,-0.005038049775254,0.0396203180767762,0.0021279154858788,-0.0009477566265541,20.291666666666668,0.6666666666666666,0.4583333333333333,time:75.0%;eod:25.0%
